name,area,address,cost,timings,rating,cuisines,contact,highlights
Jassi De Paranthe,Madhapur,"Near Karachi bakery Next to KTM Bike Showroom, Madhapur Main Road, Madhapur, Hyderabad",₹550,"11:50 AM to 5 PM, 7 PM to 11:30 PM (Mon-Tue),12 Noon to 11:30 PM (Wed-Sun)",3.6,"North Indian, Chinese",040 33165002,"Self Service, Live Sports Screening"
Sarvi Restaurant,Banjara Hills,"Opposite Care Hospital, Road 11, Banjara Hills, Hyderabad",₹850,"12 Noon to 4:30 PM, 7 PM to 11:30 PM",4.0,"Biryani, North Indian, Mughlai, Chinese, Hyderabadi",040 33194143,Valet Parking Available
Chaitanya Food Court,Kukatpally,"Near Malaysian Township Circle, Hitech City Road, KPHB Colony, Kukatpally, Hyderabad",₹800,"12 Noon to 11 PM (Mon-Fri), 11:30 AM to 11 PM (Sat-Sun)",3.6,"North Indian, Chinese, Andhra",040 33165228,"Valet Parking Available, Buffet, Zomato Fulfilled Delivery, Live Sports Screening"
Charcoal,Hitech City,"66, Opposite TATA Motors, Cyber Towers to KPHB Road, Hitech City, Hyderabad",₹450,12 Noon to 1 AM,3.8,Fast Food,040 33165649,"Valet Parking Available, Smoking Area"
AB's - Absolute Barbecues,Jubilee Hills,"Plot 483, 4th Floor, Pemmasani Complex, Bajaj Electronics Building, Near Madhapur Police Station, Road 36, Jubilee Hills, Hyderabad","₹1,800","12 Noon to 2:45 PM, 6:30 PM to 11:30 PM",4.6,"European, Mediterranean, North Indian",040 30911222,"Valet Parking Available, Buffet, Outdoor Seating"
Kavanah,Jubilee Hills,"373, Opposite UCO Bank, Jawahar Colony, Road 10, Jubilee Hills, Hyderabad","₹1,100",7:30 A.M. to 11 P.M.,4.0,"Continental, Chinese, Bakery, Desserts",040 33165326,"Desserts and Bakes, Valet Parking Available, Wifi, Live Sports Screening, Outdoor Seating, Smoking Area"
Heart Cup Coffee,Kondapur,"B 7 & 8, Jubilee Garden, Behind TCS Building, E Park, Kondapur, Hyderabad","₹1,800",11:30 AM to 11:30 PM,4.1,"Cafe, Continental, North Indian, Chinese",040 33165788,"Live Music, Valet Parking Available, Smoking Area, Wifi, Karaoke, Live Sports Screening, Outdoor Seating, Live Entertainment, Nightlife"
Pine & Dine,Hitech City,"Plot 73, Jubilee Enclave, Hitech City, Hyderabad",₹700,12 Noon to 12 Midnight,4.0,"North Indian, South Indian, Chinese",040 33165021,"Live Sports Screening, Live Music, Valet Parking Available, Smoking Area, Wifi, Outdoor Seating"
The Spicy Venue,Jubilee Hills,"265/S, Near Diamond House, Road 10, Jubilee Hills, Hyderabad",₹900,"12 Noon to 3:30 PM, 6:30 PM to 11 PM",3.8,"Andhra, North Indian, Chinese, Biryani",040 33165050,Valet Parking Available
Kolkata House,Kondapur,"110/N23, Opposite RTA Office, Kondapur, Hyderabad",₹400,11 AM to 11 PM,3.6,"Bengali, Chinese, North Indian, Seafood",040 33165217,
Glocal Junction,Jubilee Hills,"Ground Floor, Niharika Jubilee One, Road 1, Jubilee Hills, Hyderabad",₹900,12 Noon to 12 Midnight,3.9,"European, Continental, North Indian",040 33165688,"Live Sports Screening, Valet Parking Available, Smoking Area, Wifi, Nightlife, Outdoor Seating"
Hyderabad Social,Banjara Hills,"401, 4th Floor, Srida Anushka Pride, Opposite Ratndeep Supermarket, Road 12, Banjara Hills, Hyderabad",₹900,10 AM to 12 Midnight,3.6,"North Indian, Continental",040 33165242,"Valet Parking Available, Kid Friendly, Smoking Area, Zomato Fulfilled Delivery, Rooftop, Live Music, Outdoor Seating, Wifi, Live Sports Screening"
Deli 9 Bistro,Gachibowli,"Wipro SEZ Parking Route, Beside Barbeque Nation, Financial District, Nanakram Guda, Gachibowli, Hyderabad",₹700,12 Noon to 10:30 PM,4.2,"Cafe, Continental, Desserts",040 33165705,"Outdoor Seating, Wifi, Smoking Area, Desserts and Bakes"
Coffee Cup,Sainikpuri,"E 89, Above Canara Bank, Sainikpuri, Secunderabad",₹800,"9 AM to 11:30 PM (Mon-Fri), 8 AM to 11:30 PM (Sat-Sun)",4.7,"Cafe, Continental",040 33165063,"Live Music, Outdoor Seating, Smoking Area, Karaoke, Pet Friendly, Wifi, Board Games, Live Entertainment"
Palamuru Grill,Madhapur,"100 Feet Road, Opposite Meridian School, Ayyappa Society, Madhapur, Hyderabad",₹700,"12 Noon to 4 PM, 7 PM to 10:45 PM (Mon-Thu), 12 Noon to 4:15 PM, 7 PM to 11:15 PM (Fri-Sun)",3.4,"Andhra, Biryani, North Indian","040 69990029, +91 7842248455","Outdoor Seating, Wifi, Free Parking"
Urban Asia - Kitchen & Bar,Jubilee Hills,"1259/A, 3rd Floor, Beside Heritage Fresh, Road 36, Jubilee Hills, Hyderabad","₹1,300",11 AM to 12 Midnight,4.0,"Chinese, Thai, Asian, Seafood",040 33194244,"Buffet, Valet Parking Available, Smoking Area, Zomato Fulfilled Delivery, Private Dining Area Available, Wifi"
Ohri's Dhaba,Hitech City,"Ohri's, 2nd Floor, Shilparamam Complex, Opposite Cyber Tower, Hitech City, Hyderabad",₹850,"11:30 AM to 3:30 PM, 7 PM to 11 PM",2.8,North Indian,"+91 7675043686, +91 7675043478","Zomato Fulfilled Delivery, Buffet"
Sociialdistrict,Hitech City,"1st Floor, Shop 2, 1-140/2&3, Opposite Raheja Mind Space, Sector 3, Hitech City, Hyderabad","₹1,000",12 Noon to 11 PM,3.6,"North Indian, Continental, Mexican, Fast Food",040 33165761,"Buffet, Live Music, Valet Parking Available, Wifi, Live Sports Screening"
Prost Brew Pub,Jubilee Hills,"882/A, Jubilee Hills, Hyderabad","₹1,200",6 PM to 12 Midnight,4.1,"Italian, Continental, Chinese",040 23556235,"Valet Parking Available, Gastro Pub, Smoking Area, Live Sports Screening"
AB's - Absolute Barbecues,Gachibowli,"Second Floor, Apurupa Silpi, Indiranagar, Gachibowli, Hyderabad","₹1,800","12 Noon to 4:30 PM, 6:30 PM to 11:30 PM (Mon-Sun)",4.8,"European, Mediterranean, North Indian",040 30911002,"Valet Parking Available, Buffet"
Heart Cup Coffee,Jubilee Hills,"Plot 1179, Road 45, Jubilee Hills, Hyderabad","₹1,800",7 AM to 12 Midnight,3.9,"Cafe, Italian, Chinese, North Indian",040 33165784,"Outdoor Seating, Nightlife, Valet Parking Available, Smoking Area, Wifi, Live Sports Screening"
WOK Republic,Banjara Hills,"Shop 6, Lumbini Amrutha Chambers, Nagarjuna Circle, Banjara Hills, Hyderabad",₹550,11 AM to 11 PM,4.1,"Chinese, Japanese, Thai",040 33165141,Wifi
Ulavacharu,Jubilee Hills,"1299/F, Road 68, Near Indian Oil Petrol Pump, Jubilee Hills, Hyderabad","₹1,300",12 Noon to 11 PM,3.8,"Andhra, North Indian, Chinese",040 33165263,"Valet Parking Available, Private Dining Area Available"
Ohri's Far East,Banjara Hills,"8-2-682/3, 2nd Floor,Ohri's Banjara, Road 12, Banjara Hills, Hyderabad","₹1,000","12 Noon to 3:30 PM, 7 PM to 11:30 PM",3.6,Chinese,040 33165787,"Valet Parking Available, Buffet"
Punjabi Rasoi,Gachibowli,"Gachibowli Traffic Signal, Gachibowli, Hyderabad",₹650,11 AM to 11 PM,2.7,"North Indian, Chinese","+91 9348995246, +91 9849183257",
Hello Curry,,Delivery Only,₹600,11 AM to 11 PM,3.4,"North Indian, Biryani, South Indian",040 66896689,
The Wonton,Gachibowli,"2-37/12/A, 1st Floor, Vinayak Nagar, Gachibowli, Hyderabad",₹750,"12 Noon to 3 PM, 7 PM to 10:30 PM",3.7,"Chinese, Malaysian, Thai","040 64643333, 040 23006311",
Ohri's Gufaa,Basheer Bagh,"5-9-30/16-20, Ohri's Cuisine Court, Opposite Old Gandhi Medical College, Basheer Bagh, Hyderabad",₹900,"12 Noon to 3:30 PM, 7 PM to 11 PM",3.8,North Indian,"040 23298811, 040 23298822",
Habanero,Hitech City,"Second Floor, Phoenix Tower A, Opposite Trident Hotel, Hitech City, Hyderabad","₹1,800","12:30 PM to 3:30 PM, 6:30 PM to 11:30 PM (Mon-Tue),11:30 AM to 3:30 PM, 6:30 PM to 11:30 PM (Wed-Thu),12:30 PM to 11:30 PM (Fri-Sun)",3.9,"Tex-Mex, Mexican",040 33165315,"Valet Parking Available, Live Sports Screening, City View, Live Music, Drinking Age Applicable, Smoking Area, Nightlife"
New York Tavern,Madhapur,"2nd Floor, above Karachi Bakery, adj to Pride Honda, Madhapur, Hyderabad",₹800,12 Noon to 11 PM,3.6,"Mughlai, Italian, Continental, Chinese, North Indian, Indian",040 33165779,"Private Dining Area Available, Live Sports Screening, Valet Parking Available, Smoking Area, Buffet"
Tabla,Hitech City,"Plot 18, Sector 2, Hardhick Crown, Opposite Cyber Pearl, Hitech City, Hyderabad",₹900,12 Noon to 11:30 PM,3.5,"North Indian, Chinese, Andhra","040 64444222, +91 9032662000","Wifi, Valet Parking Available"
Delhi-39,Madhapur,"1st floor, Near SBH, Opposite Madhapur Petrol Pump, Madhapur, Hyderabad",₹350,"12 Noon to 3:30 PM, 6:30 PM to 11 PM",3.5,"North Indian, Chinese","040 40201565, +91 9581925961",
Ci Gusta!,Madhapur,"Plot 66, Jyothi Celeste, Kavuri Hills, Madhapur, Hyderabad","₹1,050","11:30 AM to 1 AM (Mon-Fri), 9 AM to 1 AM (Sat-Sun)",4.0,"Italian, Desserts, Fast Food","040 64448866, 040 64444160","Wifi, Desserts and Bakes"
Eat India Company,Jubilee Hills,"1259/A, 2nd Floor, Beside Heritage Fresh, Road 36, Jubilee Hills, Hyderabad","₹1,700","11 AM to 3 PM, 7 PM to 12 Midnight",4.1,"North Indian, Mughlai",040 33165160,"Zomato Fulfilled Delivery, Live Music, Valet Parking Available, Wifi"
Olive Bistro,Jubilee Hills,"Road 46, Inside Durgam Cheruvu, Jubilee Hills, Hyderabad","₹2,000",12 Noon to 11 PM,4.4,"Mediterranean, Italian, European",040 69999127,"Cocktail, Valet Parking Available, Drinking Age Applicable, Smoking Area, Live Sports Screening, City View, Outdoor Seating, Above 18 Only, Wifi, Nightlife"
Rayalaseema Ruchulu,Jubilee Hills,"Opposite SVM Mall, Near Peddamma Gudi Temple, 36th Square, Level 5, Road 36, Jubilee Hills, Hyderabad","₹1,000","11:30 AM to 4 PM, 7 PM to 11:30 PM",3.8,"Andhra, South Indian, Biryani",040 33165111,"Valet Parking Available, Buffet, Outdoor Seating, Smoking Area"
Little Italy,Hitech City,"3rd Floor, BK Towers, Near Cyber Towers, Hitech City, Hyderabad","₹1,750","12 Noon to 3:30 PM, 7 PM to 11 PM",4.1,"Italian, Continental",040 33165059,"Wifi, Buffet, Outdoor Seating"
Squeeze @ The Lime,Gachibowli,"The Lime, 4 - 50/47, Jayabheri Enclave, Near Botanical Garden, Gachibowli, Hyderabad",₹650,"7 AM to 10:30 AM, 12:30 PM to 3:30 PM, 7 PM to 11 PM",3.6,"Italian, North Indian, Chinese",040 33165275,"Valet Parking Available, Buffet"
Ohri's Tansen,Necklace Road,"Ohri's at Jalavihar, Adjacent to Jalvihar Entertainment Pvt. Ltd., Necklace Road, Hyderabad","₹1,500","12:30 PM to 3:30 PM, 7 PM to 11:30 PM",4.3,North Indian,"+91 9866693539, +91 9866770504","Valet Parking Available, Live Entertainment"
10 Downing Street,Begumpet,"10, Ground Floor, My Home Tycoon, Begumpet, Hyderabad","₹1,800",12 Noon to 12 Midnight,4.0,"North Indian, Chinese, Continental","+91 7032926106, 040 66629323","Live Sports Screening, Valet Parking Available, Wifi, Nightlife, Smoking Area, Karaoke"
Fusion 9,Hitech City,"5th Floor, Inorbit Mall, Hitech City, Hyderabad","₹1,750",12 Noon to 12 Midnight,3.8,"Continental, Italian, North Indian, Asian",040 33165206,"Outdoor Seating, Smoking Area, Wifi, Live Sports Screening, City View, Rooftop"
4 Seasons,Kondapur,"2nd Floor, SMR Vinay Technopolis, Above ICICI Bank, Kondapur, Hyderabad",₹900,12 Noon to 11 PM,3.7,"Mughlai, North Indian, Seafood",040 33194194,
Vertigo - The High Life,Banjara Hills,"5th Floor, Shiv Shakti Tower, Opposite Ratnadeep Super Market., Banjara Hills, Hyderabad","₹1,200",11 AM to 12 Midnight,3.6,"Chinese, North Indian, Continental, Italian, Mexican",040 33165336,"Live Music, Valet Parking Available, Smoking Area, Wifi, Karaoke, Nightlife, Rooftop, Outdoor Seating, Zomato Fulfilled Delivery, Live Sports Screening"
WOFL,Banjara Hills,"Road 3, Banjara Hills, Hyderabad",₹700,"8 AM to 11 PM (Mon-Sat), 8:30 AM to 11 PM (Sun)",3.9,"American, Desserts, Cafe",+91 9618676097,"Wifi, Desserts and Bakes, Outdoor Seating"
Ohri's De Thali,Begumpet,"Ground Floor, Block 3, White House Building,  Greenlands Road, Kundan Bagh Colony, Begumpet, Hyderabad",₹700,"12:30 PM to 3:30 PM, 7 PM to 11 PM",3.8,"North Indian, Rajasthani","040 40204001, +91 8790113131",Valet Parking Available
Ohri's Serengeti,Banjara Hills,"8-2-682/3, 5th Floor, Ohri's Banjara, Road 12, Banjara Hills, Hyderabad","₹1,200","12 Noon to 3:30 PM, 7 PM to 11:30 PM",3.8,North Indian,"+91 8790114141, +91 9866018122","Nightlife, Valet Parking Available, Smoking Area, Wifi, Outdoor Seating"
Punjab Grill,Jubilee Hills,"4th Floor, Guru Raghavendra, Road No 1, Jubilee Check Post, Jubilee Hills, Hyderabad Jubilee Hills","₹1,300","12 P.M. to 3:30 P.M., 7 P.M. to 11 P.M.",3.9,"North Indian, Mughlai",040 33194169,"Valet Parking Available, Private Dining Area Available, City View, Kid Friendly, Wifi"
Dine Hill,Masab Tank,"One Downing Street, Masab Tank, Hyderabad",₹750,11:30 AM to 12 Midnight,3.9,"Arabian, North Indian, Chinese, Biryani","040 64609221, +91 9290679696",
Diners Pavilion,Gachibowli,"Plot 138-139, 4th Floor, Vinayak Nagar, Satya Narayan Arcade, Gachibowli, Hyderabad","₹1,200",12 Noon to 12 Midnight,4.1,"Italian, Oriental",040 33194159,"Wifi, Live Sports Screening, Valet Parking Available, Smoking Area, Cocktail"
13 DHABA,Madhapur,"100/101, Basement, Opposite Indian Oil Petrol Pump, Hitech City Road, Madhapur, Hyderabad",₹450,"8 AM to 3:30 PM, 7 PM to 10:30 PM (Tue-Sun), Mon Closed",3.8,North Indian,+91 7842880149,Zomato Fulfilled Delivery
Via Milano,Jubilee Hills,"1259/1/A, 4th Floor, Beside Heritage Fresh, Road 36, Jubilee Hills, Hyderabad","₹1,800",11 AM to 12 Midnight,4.0,"Italian, Continental",040 33165048,"Valet Parking Available, Zomato Fulfilled Delivery, Wifi"
Punjabi Affair,Kondapur,"1st Floor, Adjacent to Chevrolet Showroom, Kondapur Main Road, Kondapur, Hyderabad",₹600,"11 AM to 3:30 PM, 7 PM to 11 PM",4.2,"North Indian, Chinese","040 65515166, +91 9030515166",
Filmy Tadka,Amberpet,"Opposite to Reliance Fresh, Shivam Road, Amberpet, Hyderabad",₹850,11 AM to 11 PM,3.7,"North Indian, Chinese","040 69999248, +91 8801167514",
Rajdhani Thali Restaurant,Banjara Hills,"Level 1, Uptown Banjara, Opposite Dr. Reddy's Laboratories, Road 3, Banjara Hills, Hyderabad",₹900,"12 Noon to 3:30 PM, 7 PM to 11 PM",4.0,"Rajasthani, Gujarati","040 64593998, 040 64593997","Valet Parking Available, Zomato Fulfilled Delivery, Serves Jain Food, Buffet"
SodaBottleOpenerWala,Jubilee Hills,"Unit 4, Ground Floor, Niharika Jubilee One, Road 1, Jubilee Hills, Hyderabad","₹1,300",12 Noon to 11:30 PM,4.2,Parsi,"040 68888681, +91 9494413010","Valet Parking Available, Nightlife, Outdoor Seating, Drinking Age Applicable, Smoking Area, Wifi, Live Sports Screening"
N Grill,Jubilee Hills,"788, Near Croma, Road 36, Jubilee Hills, Hyderabad","₹1,500","12 Noon to 3:15 PM, 7 PM to 11 PM",3.8,"Italian, European, Asian, Mediterranean","040 64644141, 040 64644242","Valet Parking Available, Smoking Area, Nightlife, Outdoor Seating, Wifi"
Karachi Bakery,Madhapur,"SBR CV Towers, Beside Image Hospitals, Madhapur, Hyderabad",₹450,11 AM to 9:30 PM,4.3,"Bakery, Desserts",040 33165115,"Desserts and Bakes, Zomato Fulfilled Delivery"
Coco's Bar & Grill,Banjara Hills,"Plot 217, Opposite KBR Park, Beside TDP Office, Road 2, Banjara Hills, Hyderabad","₹1,600",12 Noon to 12 Midnight,4.0,"Italian, Chinese, Continental, North Indian",040 33165079,"Rooftop, Outdoor Seating, Private Dining Area Available, Wifi, Nightlife, Live Music, Valet Parking Available, Smoking Area, Zomato Fulfilled Delivery"
China Bistro,Jubilee Hills,"Ground and 1st Floor, Niharika Jubilee One, Road 1, Jubilee Hills, Hyderabad","₹1,500","12 Noon to 3:30 PM, 7:30 PM to 11 PM",4.1,"Chinese, Thai, Asian",040 33165027,"Valet Parking Available, Smoking Area"
Mustang,Gachibowli,"Plot 138-139, 5th Floor,  Vinayak Nagar, Satya Naryana Arcade, Gachibowli, Hyderabad","₹1,200",12 Noon to 12 Midnight,4.0,Italian,040 33165211,"Valet Parking Available, Private Dining Area Available, Wifi, Club, Live Entertainment, Nightlife, City View, Rooftop, Cocktail, Live Music, Free Parking, Outdoor Seating, Smoking Area, Dance Floor, Live Sports Screening"
Yum Yum Tree,Madhapur,"Opposite Krishie Saffire, Madhapur, Hyderabad",₹350,12 Noon to 12 Midnight,3.8,"Fast Food, Arabian",040 33165702,"Free Parking, Live Sports Screening"
Simply South,Gachibowli,"1st Floor, Apurupa Silpi, Beside HP Petrol Bunk, Gachibowli Main Road, Gachibowli, Hyderabad","₹1,000","Mon-Sun (12 Noon to 3:15 PM, 7 PM to 10:30 PM)",4.2,"Andhra, Kerala, Chettinad, Mangalorean, Hyderabadi, South Indian",040 40180809,"Valet Parking Available, Wifi, Kid Friendly, Zomato Fulfilled Delivery"
,,"479/B, Road 21, Jubilee Hills, Hyderabad",₹600,12 Noon to 8 PM,4.9,"Bakery, Desserts",,
The Gallery Cafe,Banjara Hills,"8-2-585/1/B, Road 10, Banjara Hills, Hyderabad",₹800,11:30 AM to 10:30 PM,4.0,"Cafe, Continental",040 33165296,"Mobile Chargers On Table, Valet Parking Available, Wifi, Free Parking, Outdoor Seating"
Eclaire,Banjara Hills,"8-2-682/B/6, Road 12, Banjara Hills, Hyderabad",₹600,8 AM to 11 PM,4.1,"Cafe, Desserts, Bakery",+91 8008964893,"All Day Breakfast, Desserts and Bakes"
4 Seasons,Tolichowki,"9-4-77/3/D/4/5/6, Yousuf Tekri Complex, Opposite RTA Office, Tolichowki, Hyderabad",₹900,11 AM to 11 PM,3.8,"Mughlai, North Indian, Seafood",040 23563320,Outdoor Seating
Abhiruchi Hotel,Madhapur,"Durgam Cheruvu Road, Near Nectar Gardens, Madhapur, Hyderabad",₹700,"12 Noon to 3:30 PM, 6 PM to 10:30 PM",3.8,"Andhra, Biryani, Chinese, North Indian","+91 9949183523, +91 9177591982",
Cream Stone,Gachibowli,"Plot 138 -139, Vinayak Nagar, Gachibowli, Hyderabad",₹350,10 AM to 1 AM,4.2,"Ice Cream, Desserts",040 33165745,Desserts and Bakes
Rotis,Hitech City,"Plot 18, 2nd Floor, Sector 2, Hardhick Crown, Opposite Cyber Pearl, Hitech City, Hyderabad","₹1,000","12 Noon to 3:30 PM, 7 PM to 11 PM",3.7,"North Indian, Chinese, Mexican, South Indian","040 65868686, 040 65969696","Buffet, Valet Parking Available, Wifi, Live Sports Screening"
Tim Tai,Kondapur,"Ground Floor & 1st Floor, Stone Ridge Centre, Opposite Google, Kondapur, Hyderabad","₹1,700","12 Noon to 3:30 PM, 7 PM to 11:30 PM",3.9,"Chinese, Thai, Asian",+91 8008854275,Buffet
Mainland China,Hitech City,"Plot 1 & 2, Rohini Layout, Opposite Shilparamam, Hitech City, Hyderabad","₹1,500","12 Noon to 3:30 PM, 7 PM to 11 PM",3.7,"Chinese, Seafood",040 33165349,Buffet
Kaficko,Banjara Hills,"8-2-686/d, Above Good Earth, Road 12, Banjara Hills, Hyderabad","₹1,300","11 AM to 10 PM (Mon-Thu), 11 AM to 11 PM (Fri), 9 AM to 11 PM (Sat), 9 AM to 10 PM (Sun)",4.2,"European, Continental, Thai, American, Cafe",040 33165650,"Valet Parking Available, Wifi, Live Sports Screening"
TGI Fridays,Kukatpally,"4th Floor, Forum Sujana Mall, Phase 6, KPHB, Kukatpally, Hyderabad","₹2,000",12 Noon to 12 Midnight,3.4,"American, Mexican","040 30534204, 040 30534205","Smoking Area, Nightlife"
Delhi-39,Gachibowli,"Below More Supermarket, Near Police Commissioner Office, Telecom Nagar, Gachibowli, Hyderabad",₹350,"12 Noon to 3:30 PM, 6:30 PM to 11 PM",3.1,"North Indian, Chinese","+91 9581925934, +91 9542724343",
Oh So Stoned!,Karkhana,"The Purple Leaf Hotel, General Chawdhary Road, Karkhana, Secunderabad",₹350,11 AM to 12 Midnight,4.2,"Ice Cream, Desserts","040 66006600, +91 7702446611","Outdoor Seating, Desserts and Bakes"
Stone Waters - Kitchen & Lounge,Jubilee Hills,"Shop 1299, B1, 5th Floor, Aruna Arcade, Road 1, Jubilee Hills, Hyderabad","₹1,800",12 Noon to 12 Midnight,3.7,"North Indian, Continental, Asian",040 33165231,"Outdoor Seating, Wifi, Nightlife, Live Music, Valet Parking Available, Smoking Area, City View, Rooftop"
Oh So Stoned!,Banjara Hills,"Road 2, Opposite KBR Park, Banjara Hills, Hyderabad",₹350,11 AM to 1 AM,4.1,"Ice Cream, Desserts",040 42219411,"Outdoor Seating, Desserts and Bakes"
36 Chhattees BBQ,Jubilee Hills,"Plot 753, Road 36, Jubilee Hills, Hyderabad","₹1,000",11 AM to 11 PM,2.6,"North Indian, Chinese, Andhra","040 64580000, 040 64590000","Outdoor Seating, Wifi, Nightlife, Valet Parking Available, Smoking Area, Buffet"
Pizza Hut,Banjara Hills,"RMK Plaza, Road 12 Junction, Banjara Hills, Hyderabad",₹750,11 AM to 11 PM,4.0,"Pizza, Fast Food",040 33165106,
Thinespo,Kompally,"Beside Excellency Gardens, Kompally, Hyderabad",₹800,9:30 AM to 10:45 PM,4.0,"Continental, Italian",040 33194141,"Outdoor Seating, Valet Parking Available, Wifi"
